lea_no,lea_name,school_no,school_name,eligible,participating,isp
250,Craven County Schools,306,Ben D Quinn Elementary,, ,34.49
250,Craven County Schools,308,Bridgeton Elementary,X, ,50.11
250,Craven County Schools,312,Brinson Memorial Elementary,, ,39.91
250,Craven County Schools,314,Craven Early College,, ,23.76
250,Craven County Schools,316,Creekside Elementary,, ,11.64
250,Craven County Schools,320,Vanceboro-Farm Life Elem,X, ,63.44
250,Craven County Schools,321,Early College EAST,, ,13.47
250,Craven County Schools,324,Grover C Fields Middle,, ,29.52
250,Craven County Schools,328,Graham A Barden Elementary,, ,38.79
250,Craven County Schools,332,H J MacDonald Middle,X, ,48.24
250,Craven County Schools,336,Havelock Elementary,X, ,50.45
250,Craven County Schools,340,Havelock High,, ,28.23
250,Craven County Schools,344,Havelock Middle,X, ,44.19
250,Craven County Schools,348,J T Barber Elementary,X, ,83.33
250,Craven County Schools,350,James W Smith Elementary,X, ,63.86
250,Craven County Schools,356,New Bern High,, ,34.79
250,Craven County Schools,360,Oaks Road Elementary,X, ,70.27
250,Craven County Schools,362,Roger R Bell Elementary,X, ,51.16
250,Craven County Schools,364,Trent Park Elementary,X, ,55.51
250,Craven County Schools,368,Tucker Creek Middle,, ,17.35
250,Craven County Schools,372,West Craven High,X, ,46.57
250,Craven County Schools,376,West Craven Middle,X, ,52.62
250,Craven County Schools,378,W Jesse Gurganus Elementary,, ,26.16
250,Craven County Schools,380,Arthur W Edwards Elementary,, ,14.12
260,Cumberland County Schools,302,Alma O Easom Elementary,, ,32.27
260,Cumberland County Schools,306,Armstrong Elementary,X, ,51.47
260,Cumberland County Schools,308,Ashley Elementary,X,X,58.37
260,Cumberland County Schools,310,Loyd E Auman Elementary,X,X,54.75
260,Cumberland County Schools,312,Beaver Dam Elementary,X, ,52.48
260,Cumberland County Schools,316,Lillian Black Elementary,X,X,70.18
260,Cumberland County Schools,318,Jack Britt High School,, ,20.31
260,Cumberland County Schools,320,Brentwood Elementary,X,X,75.22
260,Cumberland County Schools,321,Douglas Byrd Middle,X,X,69.2
260,Cumberland County Schools,322,Douglas Byrd High,X, ,65.36
260,Cumberland County Schools,325,Cape Fear High,, ,35.54
260,Cumberland County Schools,326,Elizabeth M Cashwell Elem,X,X,74.92
260,Cumberland County Schools,332,Eastover Central Elementary,, ,24.82
260,Cumberland County Schools,336,Anne Chesnutt Middle,X, ,51.13
260,Cumberland County Schools,338,Cliffdale Elementary,X,X,64.51
260,Cumberland County Schools,340,College Lakes Elementary,X,X,62.53
260,Cumberland County Schools,342,C Wayne Collier Elementary,X, ,51.35
260,Cumberland County Schools,344,J W Coon Elementary,X,X,64.41
260,Cumberland County Schools,347,Cumberland International Early College High School,X, ,40.49
260,Cumberland County Schools,348,Cumberland Mills Elem,X,X,57.32
260,Cumberland County Schools,352,Cumberland Road Elementary,X,X,74.81
260,Cumberland County Schools,354,Cross Creek Early College,, ,34.5
260,Cumberland County Schools,356,District No 7 Elementary,, ,35.61
260,Cumberland County Schools,357,Gray's Creek High School,, ,32.9
260,Cumberland County Schools,358,"Luther ""Nick"" Jeralds Middle",X,X,75.9
260,Cumberland County Schools,359,E E Smith High,X, ,58.67
260,Cumberland County Schools,361,Ferguson-Easley Elementary,X,X,86.57
260,Cumberland County Schools,362,Gray's Creek Middle,, ,36.22
260,Cumberland County Schools,363,Glendale Acres Elementary,X,X,57.03
260,Cumberland County Schools,364,Alderman Road Elementary,X,X,53.52
260,Cumberland County Schools,365,R Max Abbott Middle,X, ,48.64
260,Cumberland County Schools,366,Howard L Hall Elementary,, ,26.74
260,Cumberland County Schools,367,Bill Hefner Elementary,X,X,56.27
260,Cumberland County Schools,368,Hope Mills Middle,X, ,44.64
260,Cumberland County Schools,369,John R Griffin Middle,, ,20.06
260,Cumberland County Schools,370,Ed V Baldwin Elementary,X, ,54.59
260,Cumberland County Schools,371,Ireland Drive Middle,X,X,65.26
260,Cumberland County Schools,372,Lewis Chapel Middle,X,X,65.28
260,Cumberland County Schools,373,Gallberry Farm Elementary,X, ,42.67
260,Cumberland County Schools,374,Alger B. Wilkins High School,X, ,78.21
260,Cumberland County Schools,375,Gray's Creek Elementary School,, ,29.63
260,Cumberland County Schools,380,Long Hill Elementary,, ,28.67
260,Cumberland County Schools,382,Lucile Souders Elementary,X,X,69.9
260,Cumberland County Schools,383,Mac Williams Middle,, ,39.93
260,Cumberland County Schools,386,Margaret Willis Elementary,X,X,82.28
260,Cumberland County Schools,388,Massey Hill Classical High,, ,14.8
260,Cumberland County Schools,396,Mary McArthur Elementary,X,X,70.7
260,Cumberland County Schools,397,E Melvin Honeycutt Elem,, ,25.57
260,Cumberland County Schools,398,E E Miller Elementary,X, ,46.92
260,Cumberland County Schools,400,Montclair Elementary,X,X,65.69
260,Cumberland County Schools,401,Morganton Road Elementary,X,X,56.25
260,Cumberland County Schools,402,Manchester Elementary,X,X,69.42
260,Cumberland County Schools,403,New Century International Elementary,, ,38.69
260,Cumberland County Schools,404,William H Owen Elementary,X,X,71.11
260,Cumberland County Schools,405,Walker-Spivey Elementary,X,X,89.88
260,Cumberland County Schools,406,Pine Forest Middle,, ,34.17
260,Cumberland County Schools,407,Lake Rim Elementary,X, ,45.51
260,Cumberland County Schools,408,Pine Forest High,X, ,40.13
260,Cumberland County Schools,410,Ponderosa Elementary,X,X,67.58
260,Cumberland County Schools,411,Reid Ross Classical,X, ,49.29
260,Cumberland County Schools,412,Raleigh Road Elementary,, ,29.18
260,Cumberland County Schools,413,Howard Learning Academy,X,X,87.39
260,Cumberland County Schools,414,Benjamin J Martin Elem,X,X,64.29
260,Cumberland County Schools,415,Rockfish Elementary,X, ,43.29
260,Cumberland County Schools,416,J W Seabrook Elementary,X,X,57.98
260,Cumberland County Schools,417,New Century Middle School,, ,39.41
260,Cumberland County Schools,418,Seventy-First Classical Mid,, ,33.63
260,Cumberland County Schools,424,Seventy-First High,X, ,50.66
260,Cumberland County Schools,425,South View Middle,X,X,55.64
260,Cumberland County Schools,426,Sherwood Park Elementary,X,X,69.57
260,Cumberland County Schools,427,South View High,X, ,45.67
260,Cumberland County Schools,428,Spring Lake Middle,X,X,71.05
260,Cumberland County Schools,430,Stedman Elementary,X, ,46.48
260,Cumberland County Schools,432,Stedman Primary,X, ,50.28
260,Cumberland County Schools,434,Stoney Point Elementary,, ,16.32
260,Cumberland County Schools,440,Sunnyside Elementary,X,X,69.19
260,Cumberland County Schools,444,Teresa C Berrien Elementary,X,X,90.48
260,Cumberland County Schools,446,Terry Sanford High,X, ,40.97
260,Cumberland County Schools,448,Vanstory Hills Elementary,, ,34.76
260,Cumberland County Schools,449,Ramsey Street High Alternative,X, ,78.71
260,Cumberland County Schools,450,Warrenwood Elementary,X,X,71.2
260,Cumberland County Schools,452,Westarea Elementary,X,X,82.35
260,Cumberland County Schools,454,Westover Middle,X,X,67.23
260,Cumberland County Schools,455,Westover High,X, ,59.33
260,Cumberland County Schools,459,William T Brown Elementary,X,X,64.73
260,Cumberland County Schools,700,Cumberland Polytechnic High School,, ,34.55
270,Currituck County Schools,304,Central Elementary,, ,31.71
270,Currituck County Schools,306,Currituck County High,, ,18.21
270,Currituck County Schools,308,Currituck County Middle,, ,30.14
270,Currituck County Schools,309,Jarvisburg Elementary School,, ,35.19
270,Currituck County Schools,310,Shawboro Elementary,, ,16.73
270,Currituck County Schools,311,Knapp Early College,, ,28.28
270,Currituck County Schools,312,Knotts Island Elementary,, ,10.76
270,Currituck County Schools,316,Moyock Elementary,, ,26.03
270,Currituck County Schools,318,Moyock Middle,, ,17.38
270,Currituck County Schools,320,W T Griggs Elementary,, ,39.7
280,Dare County Schools,302,Cape Hatteras Elementary,X, ,44.63
280,Dare County Schools,304,Cape Hatteras Secondary,X, ,48.17
280,Dare County Schools,306,Dare Co Alternative High,,X,38.71
280,Dare County Schools,308,Kitty Hawk Elementary,, ,9.58
280,Dare County Schools,310,Nags Head Elementary,, ,25.67
280,Dare County Schools,312,Manteo Elementary,X, ,40.58
280,Dare County Schools,316,Manteo High,, ,28.25
280,Dare County Schools,320,Manteo Middle,, ,28.35
280,Dare County Schools,324,First Flight Elementary,, ,28.16
280,Dare County Schools,328,First Flight Middle,, ,18.87
280,Dare County Schools,330,First Flight High School,, ,15.61
290,Davidson County Schools,302,Brier Creek Elementary,X, ,47.12
290,Davidson County Schools,306,Northwest Elementary,, ,24.65
290,Davidson County Schools,307,Southmont Elementary,X, ,47.67
290,Davidson County Schools,308,Central Davidson High,, ,29.05
290,Davidson County Schools,309,Central Davidson Middle,, ,36.63
290,Davidson County Schools,310,Stoner Thomas,X, ,41.41
290,Davidson County Schools,312,Churchland Elementary,X, ,47.07
290,Davidson County Schools,314,Davidson County Extended Day,X, ,48.1
290,Davidson County Schools,315,Davidson Early College,, ,14.81
290,Davidson County Schools,316,D-T Elementary,, ,30.62
290,Davidson County Schools,320,Denton Elementary,X, ,41.01
290,Davidson County Schools,322,E Lawson Brown Middle,, ,32.01
290,Davidson County Schools,324,East Davidson High,, ,19.12
290,Davidson County Schools,328,Fair Grove Elementary,, ,33.77
290,Davidson County Schools,330,Friedberg Elementary,, ,16.96
290,Davidson County Schools,332,Hasty Elementary,, ,34.04
290,Davidson County Schools,333,Friendship Elementary,, ,22.68
290,Davidson County Schools,334,Ledford Middle,, ,22.87
290,Davidson County Schools,336,Ledford Senior High,, ,15.45
290,Davidson County Schools,344,Midway Elementary,, ,24.7
290,Davidson County Schools,348,North Davidson High,, ,16.16
290,Davidson County Schools,350,North Davidson Middle,, ,23.61
290,Davidson County Schools,351,Oak Grove Middle School,, ,22.21
290,Davidson County Schools,352,Pilot Elementary,X, ,45.49
290,Davidson County Schools,356,Reeds Elementary,X, ,40.85
290,Davidson County Schools,364,Silver Valley Elementary,X, ,57.74
290,Davidson County Schools,365,South Davidson High,, ,32.9
290,Davidson County Schools,366,Southwood Elementary,X, ,50.79
290,Davidson County Schools,367,South Davidson Middle,, ,35.02
290,Davidson County Schools,375,Tyro Elementary,X, ,41.87
290,Davidson County Schools,376,Tyro Middle,, ,35.62
290,Davidson County Schools,380,Wallburg Elementary,, ,20.99
290,Davidson County Schools,384,Welcome Elementary,, ,34.19
290,Davidson County Schools,388,West Davidson High,, ,23.76
290,Davidson County Schools,389,Yadkin Valley Regional Career Academy,, ,22.84
291,Lexington City Schools,308,Charles England Intermediate,X,X,69.87
291,Lexington City Schools,332,Lexington Middle,X,X,60.86
291,Lexington City Schools,336,Lexington Senior High,X,X,48.45
291,Lexington City Schools,340,Pickett Elementary,X,X,67.22
291,Lexington City Schools,348,South Lexington Elementary,X,X,70.43
291,Lexington City Schools,350,South Lexington Developmental Center,,X,33.33
291,Lexington City Schools,352,Southwest Elementary,X,X,63.53
292,Thomasville City Schools,316,Liberty Drive Elementary,X,X,65.35
292,Thomasville City Schools,318,Thomasville Primary,X,X,66.47
292,Thomasville City Schools,320,Thomasville Middle,X,X,58.78
292,Thomasville City Schools,324,Thomasville High,X,X,51.18
298,Residential Schools,202,Eastern NC School for the Deaf,X,X,52.17
298,Residential Schools,203,Governor Morehead School for the Blind,,X,24.07
298,Residential Schools,204,NC School for the Deaf,,X,26.09
300,Davie County Schools,306,Central Davie Academy,X, ,42.73
300,Davie County Schools,308,Cooleemee Elementary,X, ,57.47
300,Davie County Schools,310,Cornatzer Elementary,, ,36.8
300,Davie County Schools,312,Davie County High,, ,24.9
300,Davie County Schools,314,Davie County Early College High School,, ,19.51
300,Davie County Schools,320,Mocksville Elementary,X, ,49.04
300,Davie County Schools,325,North Davie Middle,, ,20.8
300,Davie County Schools,326,Pinebrook Elementary,, ,25.19
300,Davie County Schools,328,Shady Grove Elementary,, ,11.83
300,Davie County Schools,330,South Davie Middle,X, ,40.99
300,Davie County Schools,336,William R Davie Elementary,X, ,45.55
300,Davie County Schools,337,William Ellis Middle School,, ,15.98
310,Duplin County Schools,304,B F Grady Elementary,X,X,55.98
310,Duplin County Schools,308,Beulaville Elementary,X,X,49.03
310,Duplin County Schools,324,Charity Middle,X,X,61.72
310,Duplin County Schools,330,Chinquapin Elementary,X,X,40.98
310,Duplin County Schools,336,Warsaw Elementary,X,X,79.61
310,Duplin County Schools,338,Duplin Early College High School,X,X,46.15
310,Duplin County Schools,340,E E Smith Middle,X,X,67.8
310,Duplin County Schools,344,East Duplin High,X,X,41.98
310,Duplin County Schools,352,James Kenan High,X,X,61.79
310,Duplin County Schools,356,Kenansville Elementary,X,X,63.86
310,Duplin County Schools,360,North Duplin Elementary,X,X,51.07
310,Duplin County Schools,364,North Duplin Jr Sr High,X,X,42.86
310,Duplin County Schools,384,Rose Hill-Magnolia Elem,X,X,70.85
310,Duplin County Schools,388,Wallace Elementary,X,X,67.4
310,Duplin County Schools,392,Wallace-Rose Hill High,X,X,54.41
310,Duplin County Schools,396,Warsaw Middle,X,X,79.79
320,Durham Public Schools,304,Bethesda Elementary,X,X,51.86
320,Durham Public Schools,306,Brogden Middle,X, ,57.91
320,Durham Public Schools,308,Burton Elementary,X,X,55.5
320,Durham Public Schools,309,J D Clement Early College HS,, ,24.3
320,Durham Public Schools,310,Eastway Elementary,X,X,72.86
320,Durham Public Schools,312,C E Jordan High,, ,24.32
320,Durham Public Schools,313,Easley Elementary,, ,17.79
320,Durham Public Schools,314,School for Creative Studies,, ,26.51
320,Durham Public Schools,315,Eno Valley Elementary,X, ,62.48
320,Durham Public Schools,316,George L Carrington Middle,X, ,43.34
320,Durham Public Schools,317,City of Medicine Academy,, ,26.02
320,Durham Public Schools,318,Club Boulevard Elementary,, ,35.13
320,Durham Public Schools,319,Creekside Elementary,, ,25.58
320,Durham Public Schools,320,Glenn Elementary,X,X,61.02
320,Durham Public Schools,322,Performance Learning Center,X, ,52.22
320,Durham Public Schools,323,Durham Sch of the Arts,, ,18.06
320,Durham Public Schools,324,Hillandale Elementary,, ,39.37
320,Durham Public Schools,325,Hillside High,X, ,43.47
320,Durham Public Schools,327,Hope Valley Elementary,X, ,44.2
320,Durham Public Schools,328,Holt Elementary,X, ,48.71
320,Durham Public Schools,332,Forest View Elementary,, ,38.3
320,Durham Public Schools,336,DPS Hospital School,, ,16.28
320,Durham Public Schools,338,James E Shepard Middle,X, ,49.79
320,Durham Public Schools,339,Lakewood Elementary,X,X,59.79
320,Durham Public Schools,340,Little River Elementary,, ,24.66
320,Durham Public Schools,341,Lakeview School,X,X,74.53
320,Durham Public Schools,342,Lakewood Montessori School,, ,26.71
320,Durham Public Schools,343,Lucas Middle School,X, ,42.96
320,Durham Public Schools,344,Fayetteville Street Elementary,X,X,64.05
320,Durham Public Schools,346,Lowe's Grove Middle,X, ,54.07
320,Durham Public Schools,347,George Watts Elementary,, ,24.63
320,Durham Public Schools,348,Mangum Elementary,, ,15.09
320,Durham Public Schools,352,Merrick-Moore Elementary,X,X,57.28
320,Durham Public Schools,354,Morehead Montessori,, ,21.76
320,Durham Public Schools,355,Neal Middle,X, ,52.63
320,Durham Public Schools,356,Northern High,, ,35.78
320,Durham Public Schools,360,Oak Grove Elementary,X, ,44.64
320,Durham Public Schools,362,Parkwood Elementary,X, ,46.32
320,Durham Public Schools,363,E K Powe Elementary,, ,36.71
320,Durham Public Schools,364,Pearsontown Elementary,, ,18.71
320,Durham Public Schools,365,Riverside High,, ,31.05
320,Durham Public Schools,366,Sherwood Githens Middle,X, ,40.76
320,Durham Public Schools,367,R N Harris Elementary,X,X,53.17
320,Durham Public Schools,368,Southern High,X, ,41.94
320,Durham Public Schools,369,Sandy Ridge Elementary,X, ,49.2
320,Durham Public Schools,370,Rogers-Herr Middle,, ,24.02
320,Durham Public Schools,372,Southwest Elementary,, ,38.73
320,Durham Public Schools,374,C C Spaulding Elementary,X,X,72.59
320,Durham Public Schools,376,Spring Valley Elementary School,, ,35.11
320,Durham Public Schools,388,W G Pearson Elementary,X,X,60.54
320,Durham Public Schools,400,Y E Smith Elementary,X,X,70.36
320,Durham Public Schools,701,Hillside Tech High School,, ,37.56
330,Edgecombe County Schools,304,G W Bulluck Elementary,X,X,67.12
330,Edgecombe County Schools,308,G W Carver Elementary,X,X,61.56
330,Edgecombe County Schools,312,Coker-Wimberly Elementary,X,X,73.29
330,Edgecombe County Schools,326,Edgecombe Early College High,, ,21.43
330,Edgecombe County Schools,328,North Edgecombe High,X,X,68.75
330,Edgecombe County Schools,332,Phillips Middle,X,X,76.92
330,Edgecombe County Schools,334,Princeville Elementary School,X,X,83.98
330,Edgecombe County Schools,340,South Edgecombe Middle,X,X,54.74
330,Edgecombe County Schools,344,WA Pattillo Middle School,X,X,80.29
330,Edgecombe County Schools,348,West Edgecombe Middle,X,X,58.44
330,Edgecombe County Schools,350,SouthWest Edgecombe High,X,X,50.06
330,Edgecombe County Schools,354,Stocks Elementary,X,X,75.18
330,Edgecombe County Schools,358,Tarboro High,X,X,61.68
330,Edgecombe County Schools,360,Martin Millennium Academy,X,X,58.69
340,Forsyth County Schools,308,Ashley Elementary,X,X,84.59
340,Forsyth County Schools,311,Atkins High,, ,16.14
340,Forsyth County Schools,314,Bolton Elementary,X,X,64.12
340,Forsyth County Schools,320,Brunson Elementary,X,X,43.49
340,Forsyth County Schools,326,Caleb's Creek Elementary,, ,28.13
340,Forsyth County Schools,330,Carver High,X,X,75.94
340,Forsyth County Schools,334,Cash Elementary,, ,32.7
340,Forsyth County Schools,336,Carter Vocational High,X, ,42.22
340,Forsyth County Schools,344,Children's Center,, ,28.21
340,Forsyth County Schools,348,Clemmons Elementary,, ,15.06
340,Forsyth County Schools,350,Clemmons Middle,, ,31.98
340,Forsyth County Schools,351,Cook Elementary,X,X,85.47
340,Forsyth County Schools,354,The Downtown School,, ,10.41
340,Forsyth County Schools,364,East Forsyth High,, ,23.82
340,Forsyth County Schools,366,East Forsyth Middle,X,X,55.62
340,Forsyth County Schools,368,Easton Elementary,X,X,78.29
340,Forsyth County Schools,372,Flat Rock Middle,X,X,56.01
340,Forsyth County Schools,376,Forest Park Elementary,X,X,79.34
340,Forsyth County Schools,380,Gibson Elementary,X,X,68.65
340,Forsyth County Schools,382,R B Glenn High,, ,36.32
340,Forsyth County Schools,384,Griffith Elementary,X,X,63.28
340,Forsyth County Schools,385,Main Street Academy,X,X,71.63
340,Forsyth County Schools,390,Hall-Woodward Elementary,X,X,70.6
340,Forsyth County Schools,392,Hanes Middle,, ,28.08
340,Forsyth County Schools,400,Ibraham Elementary,X,X,68.62
340,Forsyth County Schools,403,Jefferson Elementary,, ,22.64
340,Forsyth County Schools,406,Jefferson Middle,, ,20.78
340,Forsyth County Schools,416,Kernersville Elementary,X,X,56.71
340,Forsyth County Schools,420,Kernersville Middle,, ,29.05
340,Forsyth County Schools,424,Kimberley Park Elementary,X,X,82.21
340,Forsyth County Schools,426,Kimel Farm Elementary,X, ,42.61
340,Forsyth County Schools,427,Kingswood School,X,X,48.72
340,Forsyth County Schools,428,Konnoak Elementary,X,X,71.18
340,Forsyth County Schools,430,Diggs/Latham Elementary School,X,X,74.78
340,Forsyth County Schools,432,Lewisville Elementary,, ,15.67
340,Forsyth County Schools,436,Lowrance Middle,, ,38.89
340,Forsyth County Schools,440,Meadowlark Elementary,, ,13.46
340,Forsyth County Schools,442,Meadowlark Middle,, ,14.26
340,Forsyth County Schools,447,Middle Fork Elementary,X,X,66.1
340,Forsyth County Schools,448,Mineral Springs Elementary,X,X,75.7
340,Forsyth County Schools,452,Mineral Springs Middle,X,X,69.25
340,Forsyth County Schools,453,Moore Elementary,X, ,46.92
340,Forsyth County Schools,454,Mount Tabor High,, ,32.07
340,Forsyth County Schools,457,Frank Morgan Elementary School,, ,20.83
340,Forsyth County Schools,460,North Forsyth High,X, ,46.73
340,Forsyth County Schools,462,North Hills Elementary,X,X,79.85
340,Forsyth County Schools,464,Northwest Middle,X,X,50.16
340,Forsyth County Schools,472,Old Richmond Elementary,, ,34.91
340,Forsyth County Schools,476,Old Town Elementary,X,X,72.32
340,Forsyth County Schools,480,Paisley Middle,X, ,41.28
340,Forsyth County Schools,486,Parkland High,X, ,52.74
340,Forsyth County Schools,488,Kennedy Learning,X, ,64.77
340,Forsyth County Schools,490,Petree Elementary,X,X,84.53
340,Forsyth County Schools,492,Philo-Hill Magnet Academy,X,X,79.17
340,Forsyth County Schools,494,Piney Grove Elementary,, ,24.25
340,Forsyth County Schools,495,Reagan High,, ,12.62
340,Forsyth County Schools,496,Reynolds High,, ,34.51
340,Forsyth County Schools,504,Rural Hall Elementary,X, ,40.59
340,Forsyth County Schools,508,Sedge Garden Elementary,, ,36.8
340,Forsyth County Schools,512,Sherwood Forest Elementary,, ,13.67
340,Forsyth County Schools,514,Smith Farm Elementary,X, ,44.3
340,Forsyth County Schools,516,Southeast Middle,, ,31.42
340,Forsyth County Schools,520,South Fork Elementary,X,X,65.59
340,Forsyth County Schools,528,Southwest Elementary,, ,19.85
340,Forsyth County Schools,530,Speas Elementary,X,X,63.03
340,Forsyth County Schools,531,The Childrens Special School,X, ,52.81
340,Forsyth County Schools,532,Union Cross Elementary,X, ,40.4
340,Forsyth County Schools,536,Vienna Elementary,, ,12.22
340,Forsyth County Schools,540,Walkertown Elementary,X,X,49.29
340,Forsyth County Schools,542,Walkertown High School,, ,30.59
340,Forsyth County Schools,544,Walkertown Middle,X, ,46.08
340,Forsyth County Schools,548,Ward Elementary,X, ,47.25
340,Forsyth County Schools,556,West Forsyth High,, ,14.15
340,Forsyth County Schools,560,Whitaker Elementary,, ,11.93
340,Forsyth County Schools,564,Wiley Middle,X,X,52.71
340,Forsyth County Schools,568,Winston-Salem Preparatory Acad,X,X,71.54
350,Franklin County Schools,304,Bunn Elementary,X,X,45.81
350,Franklin County Schools,308,Bunn High,, ,32.33
350,Franklin County Schools,310,Bunn Middle,, ,36.35
350,Franklin County Schools,312,Cedar Creek Middle,, ,30.05
350,Franklin County Schools,316,Edward Best Elementary,X,X,53.42
350,Franklin County Schools,317,Franklin County Early College High School,, ,35.52
350,Franklin County Schools,318,Franklinton Elementary,X,X,58.41
350,Franklin County Schools,321,Franklinton High,, ,27.27
350,Franklin County Schools,324,Franklinton Middle School,X,X,51.64
350,Franklin County Schools,330,Laurel Mill Elementary,X,X,57.99
350,Franklin County Schools,331,Long Mill Elementary,, ,37.44
350,Franklin County Schools,332,Louisburg Elementary,X,X,60
350,Franklin County Schools,336,Louisburg High,X, ,42.24
350,Franklin County Schools,338,Terrell Lane Middle,X,X,52.76
350,Franklin County Schools,339,Royal Elementary,X,X,51.55
350,Franklin County Schools,340,Youngsville Elementary,, ,30.02
360,Gaston County Schools,310,Ashbrook High,, ,39.89
360,Gaston County Schools,320,Belmont Central Elementary,, ,21.09
360,Gaston County Schools,324,Belmont Middle,, ,22.66
360,Gaston County Schools,332,Bessemer City Central Elem,X,X,62.12
360,Gaston County Schools,336,Bessemer City High,X, ,44.25
360,Gaston County Schools,337,Gaston Early College,, ,18.26
360,Gaston County Schools,338,Bessemer City Primary,X,X,68.85
360,Gaston County Schools,339,William B Beam Intermediate,, ,38.27
360,Gaston County Schools,340,Brookside Elementary,X,X,49.49
360,Gaston County Schools,344,Carr Elementary,X,X,51.88
360,Gaston County Schools,348,Catawba Heights Elementary,, ,35.5
360,Gaston County Schools,352,Chapel Grove Elementary,X,X,54.67
360,Gaston County Schools,360,Cherryville Senior High,, ,31.24
360,Gaston County Schools,364,Cherryville Elementary,X, ,46.45
360,Gaston County Schools,372,Warlick School,X,X,58.7
360,Gaston County Schools,376,Costner Elementary,, ,36.84
360,Gaston County Schools,378,Stuart Cramer High School,, ,24.19
360,Gaston County Schools,380,Cramerton Middle,, ,16.15
360,Gaston County Schools,390,East Gaston High,, ,25.39
360,Gaston County Schools,392,"Edward D Sadler, Jr Elementary",X,X,71.68
360,Gaston County Schools,394,Webb St Special Education,, ,33.13
360,Gaston County Schools,396,Forestview High,, ,21.87
360,Gaston County Schools,400,Gardner Park Elementary,X,X,47.87
360,Gaston County Schools,408,W P Grier Middle,X,X,56.95
360,Gaston County Schools,416,Hawk's Nest Intermediate,, ,0
360,Gaston County Schools,418,Highland Sch of Technology,, ,13.22
360,Gaston County Schools,420,Hawks Nest STEAM Academy,, ,26.58
360,Gaston County Schools,426,Holbrook Middle,, ,38.68
360,Gaston County Schools,428,Hunter Huss High,X, ,50.62
360,Gaston County Schools,430,J B Page Elementary,, ,22.54
360,Gaston County Schools,431,John Chavis Middle,, ,39.14
360,Gaston County Schools,432,Kiser Elementary,X, ,42.68
360,Gaston County Schools,436,Bessemer City Middle,X,X,56.1
360,Gaston County Schools,438,Lingerfeldt Elementary,X,X,71.59
360,Gaston County Schools,440,Lowell Elementary,, ,39.72
360,Gaston County Schools,448,McAdenville Elementary,X, ,41.15
360,Gaston County Schools,456,Mount Holly Middle,, ,29.47
360,Gaston County Schools,464,New Hope Elementary,, ,22.31
360,Gaston County Schools,468,North Belmont Elementary,X,X,50.91
360,Gaston County Schools,470,North Gaston High,, ,33.51
360,Gaston County Schools,478,Pinewood Elementary,, ,30.42
360,Gaston County Schools,480,Pleasant Ridge Elementary,X,X,69.8
360,Gaston County Schools,482,Ida Rankin Elementary,X, ,41.22
360,Gaston County Schools,488,Robinson Elementary,, ,35.64
360,Gaston County Schools,490,Sherwood Elementary,X, ,49.27
360,Gaston County Schools,492,Hershal H Beam Elementary,X,X,68.28
360,Gaston County Schools,494,South Point High,, ,17.4
360,Gaston County Schools,498,Southwest Middle,X,X,55.51
360,Gaston County Schools,499,Springfield Primary,,X,39.88
360,Gaston County Schools,500,Stanley Middle,, ,34.81
360,Gaston County Schools,504,Tryon Elementary,X,X,52.84
360,Gaston County Schools,510,W A Bess Elementary,, ,24.79
360,Gaston County Schools,514,William C Friday Middle,, ,36.83
360,Gaston County Schools,520,Woodhill Elementary,X,X,76.04
360,Gaston County Schools,526,York Chester Middle,X,X,71.27
370,Gates County Schools,304,Buckland Elementary,X, ,45.9
370,Gates County Schools,308,Central Middle,X, ,40.67
370,Gates County Schools,312,Gates County Senior High,, ,39.6
370,Gates County Schools,316,Gatesville Elementary,X, ,48.53
370,Gates County Schools,324,T S Cooper Elementary,X, ,49.6
380,Graham County Schools,306,Robbinsville Elementary,X, ,49.63
380,Graham County Schools,308,Robbinsville High,, ,35.9
380,Graham County Schools,310,Robbinsville Middle,, ,30.77
390,Granville County Schools,309,Butner-Stem Middle,, ,34.94
390,Granville County Schools,311,Butner-Stem Elementary,X, ,44.96
390,Granville County Schools,312,C G Credle Elementary,X, ,66.5
390,Granville County Schools,314,Center for Innovative Learning,X, ,60.53
390,Granville County Schools,316,Creedmoor Elementary,X, ,43.4
390,Granville County Schools,320,G C Hawley Middle,, ,26.5
390,Granville County Schools,322,Granville Central High School,, ,36.15
390,Granville County Schools,323,Granville Early College High School,, ,15.53
390,Granville County Schools,324,J F Webb High,X, ,45.97
390,Granville County Schools,328,Granville Magnet School,, ,0
390,Granville County Schools,331,Mary Potter Middle,X, ,45.59
390,Granville County Schools,333,Mount Energy Elementary,, ,32.91
390,Granville County Schools,334,Northern Granville Middle,X, ,44.83
390,Granville County Schools,336,Joe Toler-Oak Hill Elem,X, ,43.72
390,Granville County Schools,352,South Granville High,, ,23.72
390,Granville County Schools,360,Stovall-Shaw Elementary,X, ,46.81
390,Granville County Schools,362,Tar River Elementary,, ,27.35
390,Granville County Schools,364,West Oxford Elementary,X, ,61.1
390,Granville County Schools,368,Wilton Elementary,, ,24.18
390,Granville County Schools,700,JF Webb High School of Health,, ,14.6
390,Granville County Schools,704,S Granville High of Health Sci,, ,0
390,Granville County Schools,705,South Granville High School of Integrated Technology and Leaders,, ,0
400,Greene County Schools,308,Greene Central High,X,X,67.05
400,Greene County Schools,312,Greene County Middle,X,X,69.1
400,Greene County Schools,315,Greene Early College High,X,X,47.56
